platform/java/agent-core | com.ghatana.agent.behavioral.DeterministicAgentBehavioralTest$ProcessingTests | FSM transitions follow state machine rules | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.agent.behavioral.DeterministicAgentBehavioralTest$ProcessingTests.xml
platform/java/agent-core | com.ghatana.agent.benchmark.AgentBenchmarkRunner | Agent throughput meets production targets | failure | java.lang.AssertionError: [Adaptive agent throughput should exceed 50K ops/sec]  Expecting actual:   9048.025144926733 to be greater than:   50000.0 | TEST-com.ghatana.agent.benchmark.AgentBenchmarkRunner.xml
platform/java/database | com.ghatana.core.database.activej.ActiveJDatabaseIntegrationTest | Should execute queries | failure | jakarta.persistence.PersistenceException: No Persistence provider for EntityManager named test-unit | TEST-com.ghatana.core.database.activej.ActiveJDatabaseIntegrationTest.xml
platform/java/database | com.ghatana.core.database.activej.ActiveJDatabaseIntegrationTest | Should handle transaction rollback | failure | jakarta.persistence.PersistenceException: No Persistence provider for EntityManager named test-unit | TEST-com.ghatana.core.database.activej.ActiveJDatabaseIntegrationTest.xml
platform/java/database | com.ghatana.core.database.activej.ActiveJDatabaseIntegrationTest | Should save and retrieve entity | failure | jakarta.persistence.PersistenceException: No Persistence provider for EntityManager named test-unit | TEST-com.ghatana.core.database.activej.ActiveJDatabaseIntegrationTest.xml
platform/java/database | com.ghatana.core.database.migration.FlywayMigrationIT | getStatus returns current version after migration | failure | com.ghatana.core.database.migration.MigrationException: Database migration failed | TEST-com.ghatana.core.database.migration.FlywayMigrationIT.xml
platform/java/database | com.ghatana.core.database.migration.FlywayMigrationIT | migrate applies all pending SQL scripts | failure | com.ghatana.core.database.migration.MigrationException: Database migration failed | TEST-com.ghatana.core.database.migration.FlywayMigrationIT.xml
platform/java/database | com.ghatana.core.database.migration.FlywayMigrationIT | migration creates the expected table in the database | failure | com.ghatana.core.database.migration.MigrationException: Database migration failed | TEST-com.ghatana.core.database.migration.FlywayMigrationIT.xml
platform/java/database | com.ghatana.core.database.migration.FlywayMigrationIT | second migrate call is idempotent — no migrations re-applied | failure | com.ghatana.core.database.migration.MigrationException: Database migration failed | TEST-com.ghatana.core.database.migration.FlywayMigrationIT.xml
platform/java/database | com.ghatana.core.database.migration.FlywayMigrationIT | validate passes after successful migration | failure | com.ghatana.core.database.migration.MigrationException: Database migration failed | TEST-com.ghatana.core.database.migration.FlywayMigrationIT.xml
platform/java/database | com.ghatana.platform.database.adapter.TransactionRollbackTest$BasicRollback | rollback on checked exception restores pre-transaction state | failure | org.opentest4j.AssertionFailedError:  expected: [100, 200]  but was: [50, 250] | TEST-com.ghatana.platform.database.adapter.TransactionRollbackTest$BasicRollback.xml
platform/java/database | com.ghatana.platform.database.cache.pubsub.RedisPubSubManagerIT | double stop is idempotent — does not throw | failure | redis.clients.jedis.exceptions.JedisException: class com.ghatana.platform.database.cache.pubsub.RedisPubSubManager$JedisPubSubHandler is not connected to a Connection. | TEST-com.ghatana.platform.database.cache.pubsub.RedisPubSubManagerIT.xml
platform/java/database | com.ghatana.platform.database.integration.DatabaseIntegrationTest | Should handle transaction commit and rollback | failure | java.lang.NullPointerException: Cannot invoke "java.sql.Connection.getAutoCommit()" because "conn" is null | TEST-com.ghatana.platform.database.integration.DatabaseIntegrationTest.xml
platform/java/database | com.ghatana.platform.database.integration.DatabaseTransactionIntegrationTest | should handle transaction timeout | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.platform.database.integration.DatabaseTransactionIntegrationTest.xml
platform/java/identity | com.ghatana.identity.lifecycle.IdentityLifecycleTest$AgentIdentityRegistration | registered identity is resolvable by tenant and agent ID | failure | java.lang.AssertionError:  Expecting Optional to contain a value but it was empty. | TEST-com.ghatana.identity.lifecycle.IdentityLifecycleTest$AgentIdentityRegistration.xml
platform/java/policy-as-code | com.ghatana.platform.pac.PolicyAsCodeEngineExpansionTest$MultiTenantTests | Tenant-specific policies don't leak to other tenants | failure | org.opentest4j.AssertionFailedError:  Expecting value to be false but was true | TEST-com.ghatana.platform.pac.PolicyAsCodeEngineExpansionTest$MultiTenantTests.xml
platform/java/security-analytics | com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$ConcurrentEgressTests | Concurrent detection of injection patterns | failure | java.lang.AssertionError:  Expecting actual:   0 to be greater than:   0 | TEST-com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$ConcurrentEgressTests.xml
platform/java/security-analytics | com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$EdgeCaseTests | Very long prompts for injection detection | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$EdgeCaseTests.xml
platform/java/security-analytics | com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$InjectionDetectionTests | Case-insensitive detection | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$InjectionDetectionTests.xml
platform/java/security-analytics | com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$InjectionDetectionTests | Detect SQL injection patterns | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$InjectionDetectionTests.xml
platform/java/security-analytics | com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$InjectionDetectionTests | Detect multiple injection patterns | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.platform.security.analytics.SecurityAnalyticsExpansionTest$InjectionDetectionTests.xml
