Feature ID,Feature,Short Description,Primary Languages,File Paths,Key Symbols / Functions,Config Knobs,Status,Priority,Notes
E024,Integration Points (Identity/Auth),Integration with Auth0/OIDC for identity flows and protected endpoints,TypeScript/Env,services/extension/.env.local; services/extension/src/auth/* (if present),BUILD_AND_DEPLOY.md,"VITE_AUTH0_DOMAIN, VITE_AUTH0_CLIENT_ID, VITE_AUTH0_AUDIENCE","auth.provider, auth.clientId, auth.audience",Partially Implemented,High,"Env shows Auth0 placeholders; ensure auth flows in UI and background for protected config endpoints"
E025,Adapter Tests & Chaos/Resilience Tests,Unit/integration tests for sink adapters and flaky behavior (chaos tests exist for desktop sinks),TypeScript,services/extension/tests/*; services/desktop/src/lib/adapters/__tests__/*,"extension-load.test.ts, chaos.test.ts (desktop)","test.matrix, retries",Partial,Medium,"Extension has tests for loading and content injection; adapter chaos tests found in desktop adapters"
E026,Local Debugging Tools (File Sink / Logs),Local file sink and debug logging to aid developer testing,TypeScript,services/extension/src/adapters/sink/file.ts; services/extension/tests/*,"FileSink.sendBatch, debug logs","sink.filePath, debug.enabled",Implemented,Low,"Helpful for Playwright and local runs where real ingest endpoint is unavailable"
E027,Resource & Memory Heuristics (Latency Predictor Inputs),Predictor reads performance.memory and resource timings to extract features for root-cause analysis,TypeScript,services/extension/src/logic/predict_latency_cause.ts,"analyzeLatency, extractFeatures, estimateMemoryPressure","predictor.thresholds.slow_page_load, predictor.enabled",Implemented,Medium,"Uses non-standard performance.memory where available; includes thresholds for slow page/load"
E028,Security Fuzzing / Signature Verifier Tests,Fuzz harnesses and DER mutation tests exist in mlops/docs for signature verifier (quality assurance),Python/Go,services/mlops/README.md; services/mlops/internal/*,"DER mutation fuzz harness","fuzz.targets, verifier.enabled",Partial,Low,"Relevant for add-on signature verification and robust parsing/testing of signing code; cross-team coordination"
E029,Operational Runbooks & Deployment Notes,Docs that describe how to run extension in CI, local dev, and production; packaging/deploy guidance,Markdown,services/extension/README.md; BUILD_AND_DEPLOY.md,services/extension/README.DOCS_PLAN.md,"build/test/deploy steps, CI matrix notes","ci.buildMatrix, deploy.targets",Implemented,High,"Includes Playwright matrix guidance and CI SBOM workflow; recommend adding release checklist"
E030,Communication Surface (Source ↔ Sink Only),Design constraint: enumerate all producer (sources) and consumer (sinks) surfaces and restrict flows to these channels,TypeScript/Docs,services/extension/src/*; services/extension/docs/TECHNICAL_GUIDE.md? (proposed),services/extension/src/content/transport.ts,"source tags, SinkAdapter interfaces","n/a (architectural)",Planned,High,"Recommend enforcing communication via content->background->sink channels and auditing code paths that directly call remote endpoints from content scripts"
E031,Chrome Storage & IndexedDB Usage,Persistent storage via chrome.storage.local and optional IndexedDB queue for larger data,TypeScript/JS,services/extension/src/storage/ChromeStorage.js; services/extension/content.js; services/desktop/src/lib/adapters/queue.ts,"ChromeStorage.get/set, IndexedDBQueue","storage.local.enabled, storage.sync.enabled, idb.dbName",Implemented,High,"Extension uses chrome.storage.local; desktop adapters include IndexedDB queue; consider implementing IndexedDB queue for extension for large payloads"
E032,Options / Popup UI & Settings,User-facing configuration pages and popup UI for enabling features and uploading configs,TypeScript/React,services/extension/src/components/*; services/extension/src/ui/*; services/extension/src/components/ConfigUploader.tsx,"ConfigUploader, options page components","ui.popupEnabled, settings.cacheTtl",Implemented,Medium,"UI components present; ensure options page is wired in manifest and settings persisted"
E033,DevTools Panel,Devtools panel for debugging and inspecting collected telemetry,TypeScript,services/extension/src/devtools/panel.ts,"devtools.panel init, runtime.onMessage listeners","devtools.enabled",Implemented,Low,"Devtools panel exists; useful for developers to inspect events and metrics"
E034,Native Bridge (Native Messaging),Native messaging bridge to communicate with a native app for advanced integrations,TypeScript,services/extension/src/bridge/nativeBridge.ts; services/desktop/src/lib/bridge/bridgeClient.ts,"nativeBridge.port.connect, port.postMessage, onMessage listener","nativeBridge.enabled, nativeBridge.binaryPath",Partially Implemented,Medium,"Native bridge code present; verify manifest nativeMessaging host entries and platform-specific installers"
E035,Localization & i18n,Localized strings and _locales support for browser UI,JSON/Markdown,,"messages.json, _locales directories","i18n.enabled, defaultLocale",Missing,Low,"No _locales found; consider adding messages.json and translations for UX"
E036,Context Menus & Commands,Context menu items and command shortcuts to trigger extension actions,TypeScript,services/extension/src/*,"browser.contextMenus.create, browser.commands","contextMenu.enabled, commands.shortcuts",Planned,Low,"No strong evidence of contextMenus or commands; add if UX requires quick actions"
E037,Notifications & Alarms,User notifications and periodic alarms for background tasks,TypeScript,services/extension/src/*,"notifications.create, alarms.create","notifications.enabled, alarms.schedule",Planned,Low,"Not currently present; consider for user alerts and periodic maintenance tasks"
E038,Uninstall & Update Hooks,Hooks for runtime.onInstalled and runtime.setUninstallURL to manage migrations and telemetry opt-out,TypeScript,services/extension/src/background/index.ts; services/extension/playwright.config.ts,"runtime.onInstalled, runtime.setUninstallURL","uninstallUrl, updateCheck",Implemented,Medium,"onInstalled present; recommend setting uninstall URL and handling update migrations"
